项目ID,项目编号,项目名称,项目金额,业务模式,业务条线,租赁模式,项目状态,客户ID,客户名称,客户经理ID,客户经理名称,部门ID,部门名称,机构ID,机构名称,项目资金用途,国家,省份,市,地区,详细地址,项目第一偿还来源,项目第二偿还来源,租赁物描述,争议解决方式,数据版本,创建人,创建时间,最后修改人,最后修改时间,单据来源主键,单据来源类型,出租人机构ID,业务单据类型,总裁审批状态,是否上预审会,是否上审决会,删除标识,审批结束时间,总裁审批通过时间,决策有效期,全投资内部收益率,租赁利率,调整方式,保证金比例及收取方式,手续费比例及收取方式,租金支付方式,审决会投票委员,项目来源,客户initId,项目初始化id,业务变更版本号,业务属性,业务类型,租赁物类型,项目资金类型,业务条线类型
24732886-5f23-4d07-a425-eb51c6e3bec9,XM2024060001,辽宁省营口市盖州市32.61MW光伏发电项目,112900000.0,普通融资租赁,光伏发电,直租+回租,PASS,2484346f-9804-4501-9474-c112ed0d0fe0,营口永旋电力工程有限公司,102664,谭晖,yls_kflj70000k323e,能源业务二部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,支付建设本项目的设备采购及施工总包款,156.0,辽宁省,营口市,盖州市,,电费收入,担保公司收入,光伏电站及附属设施,compulsoryNotarization,13,102664,2024-06-04 11:16:05,102948,2025-12-31 11:11:47,e752e380-d109-4835-903e-94f979425702,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2024/06/13 17:06:58,2024/06/13,1,0.0664,参照2024年05月20日央行五年期LPR3.95%利率加点值105.00BP，即5.00%。,浮动利率,0,0.5%；下款前收取,按季计息，季末收取，宽限期1年，宽限期内只还息不还本，宽限期结束后等额本息,"[""102559"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",NEW_MARKET_DEVELOP,b275b3f3-c60b-46cf-a1b6-5ad33c23e047,c58ca4be-35a7-4d06-99ee-f6b65dd5d5a3,1.0,市场化,常规融资租赁,光伏设备,设备采购,光伏
25c11f5d-946e-4969-bd0c-b5abc654171d,XM2024080001,河南周口迎风26MW分散式风电项目,156000000.0,普通融资租赁,风力发电,直租,PASS,60866bab-1b73-4d6a-ac62-f66dda852cc2,周口市迎风发电有限公司,422ebd79-9ba1-4dcc-b3e5-b280d0601c88,马志平,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,建设26MW风电场,156.0,河南省,周口市,淮阳县,周口市淮阳区东北部的安岭镇、临蔡镇境内,发电收入,担保,风电设备等,litigation,27,102616,2024-08-02 15:43:50,102870,2024-09-14 11:21:04,c18fca18-3479-4270-8f56-2052fc9cc8bd,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2024/09/14 11:21:04,2024/09/12,1,0.07,参照2024年06月20日央行五年期LPR3.95%利率加点值65.00BP，即4.60%。,浮动利率,0元,1%,不规则、设有宽限期12个月后等额本息、季付进行租金偿还,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",NEW_MARKET_DEVELOP,0427d196-7a64-456d-be2a-0b6ac27df0fe,6ea6db62-5c7a-485f-9860-7d439f12b0fc,1.0,市场化,常规融资租赁,风电设备,项目建设,风电
25d8057c-eba9-4662-ba27-8d4e2e500772,XM2025070003,浙江宁波法莱欣科技1.179MW/2.349MWh用户侧储能项目,2820000.0,普通融资租赁,储能业务,直租,PASS,1c015629-6128-44a4-97d8-38d8f6f1c6b7,绿电荷储（杭州）新能源有限公司,102537,钱奔,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,储能电站及基础设施建设,156.0,浙江省,宁波市,慈溪市,,储能电站峰谷价差收益,北京绿电荷储担保,储能电站及基础设施,litigation,13,102537,2025-07-09 15:41:49,103014,2025-07-17 16:32:55,80a04107-6560-4acf-ae2c-792b962e53b0,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2025/07/17 16:32:55,,1,0.0909,参照2025年06月20日央行五年期LPR3.50%利率加点值135.00BP，即4.85%。,固定利率,无,按照融资额的0.5%收取，2025年12月25日支付,季付，两期宽限期，等额本息（第一期不还本息，第二期还息不还本，第一期利息在第二期付息时一并收取）,,,3f1039a9-bf64-4932-b418-d8c8ce226435,93900e49-ec02-4bdf-bf01-83f91ba5a340,1.0,服务国电投集团,常规融资租赁,储能设备,项目建设,储能
2a7b956e-da23-46d8-8035-85fd15c0dd0a,XM2022120002,光富通-潍坊滨海石化4.8MW分布式光伏项目,17600000.0,普通融资租赁,光伏发电,直租,PASS,cbc99b69-d1e6-4e82-95a9-6d1f6ff660ce,潍坊峡创新能源有限公司,102596,刘远洋,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,项目建设费,156.0,山东省,潍坊市,市辖区,,电站发电收入,实控人及母公司担保,光伏发电设备及附属设施,litigation,9,102845,2022-12-02 09:19:25,102870,2022-12-06 09:20:21,777dac6c-4458-480e-9ff6-3175817319b9,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,,0.0,0.0,0,2022/12/06 09:20:20,,1,0.0862,2022年10月20日央行5年期LPR4.3%上浮180bp,浮动利率,无,2%，下款前一次性收取,按季还款，不规则还款，半年宽限期，宽限期付息不付本，期末20号收取,,,2c511e72-536b-41f5-82ae-3797ea26700c,ef09c2c9-6b9a-488b-8fbc-497a84c8b525,1.0,市场化,常规融资租赁,光伏设备,项目建设,光伏
2b1e5441-e9ce-4dcc-aaf1-a00f7376df91,XM2025070004,金湖海华15.048MWh用户侧储能项目,12188900.0,普通融资租赁,储能业务,直租,PASS,1f5f230b-db98-428b-9c59-fb02716994ae,淮安绿储能源科技有限公司,02a7f4e5-f6e5-418d-b01c-b98860453e17,严容,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,用于储能设备采购及项目建设,156.0,江苏省,淮安市,金湖县,江苏淮安金湖县涂沟镇工业集中区,项目电费收入,自有资金,储能设备及其基础设施建设,litigation,18,02a7f4e5-f6e5-418d-b01c-b98860453e17,2025-07-09 21:16:20,103014,2025-07-17 16:45:20,5c6ace18-b514-4b96-bcd3-8f87f7eba051,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2025/07/17 16:45:20,,1,0.0719,参照2025年06月20日央行五年期LPR3.50%利率加点值135.00BP，即4.85%。,固定利率,0%,按照租赁本金的0.5%收取，2025年12月25日之前支付,季付，等额本息，前两期宽限期，（第一期不还本息，第二期还息不还本，第一期利息在第二期付息时一并收取）,,,5e29afe9-6dd1-4df3-a6a9-db68e15662f9,06cb440e-256d-4195-8ee9-e4c0f6e46e66,1.0,服务国电投集团,常规融资租赁,储能设备,设备采购,储能
2cc70bff-ae76-4da0-b44b-bcc7ef3cfbb9,XM2024100007,义乌庆峰拉链0.23MW储能宝,511740.0,普通融资租赁,储能业务,直租,PASS,e2e1eef9-3536-46c8-9d5f-b1a8912e5a67,金华市绿电荷储新能源科技有限公司,102537,钱奔,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,购置储能设备及其附属设施,156.0,浙江省,金华市,义乌市,,电费收入,承租人担保,储能设备及其附属设施,litigation,35,103074,2024-10-28 12:44:32,103014,2024-11-12 10:43:31,f947181b-3060-4b49-9b01-66aaca4d8a46,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2024/11/12 10:43:30,,1,0.0514,参照2024年10月21日央行五年期LPR3.60%利率加点值125.00BP，即4.85%。,固定利率,无,1）比例：5‰；2）收取方式：2024年12月20日一次性收取,按等额本息计息，季度还款，期末20日收取。宽限期1个季度，宽限期内只还息不还本，宽限期结束后正常还款。,,,d4d7e45a-6aee-4482-b213-ca25117537ed,51e31e42-209d-4a83-ba17-5523eabc9b65,1.0,市场化,常规融资租赁,储能设备,设备采购,储能
2d3ea74d-bdc4-4041-91b3-6961f05a1b18,XM2024100002,辽宁旭海12.6MW风电项目,62040000.0,普通融资租赁,风力发电,直租,PASS,2769455b-23cd-4d23-98ed-2ac7936d00e0,辽阳旭海电力新能源有限公司,02a7f4e5-f6e5-418d-b01c-b98860453e17,严容,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,受让辽宁旭海12.6MW风电项目在江苏金租的债权资产以及新增投放项目建设资金,156.0,辽宁省,辽阳市,文圣区,,电网结算收入,担保方自有资金,风电设备及其附属配件、基础设施及不动产,litigation,13,02a7f4e5-f6e5-418d-b01c-b98860453e17,2024-10-14 14:14:11,103014,2024-10-18 17:31:20,1ea9cb09-8804-432c-b179-6df85c558d21,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2024/10/18 17:31:19,,1,0.1145,参照2024年09月20日央行五年期LPR3.85%利率加点值315.00BP，即7.00%。,浮动利率,0,首批投放金额的2%收取，下款后3个工作日内一次性支付,按照利率7%计息，季度，等额本息，年限15年,,,f893694b-f911-4bbd-a3d9-c78765ba7a97,7184f77a-6e25-4c30-860c-2014be23c77d,1.0,市场化,同业资产交易,风电设备,资产收购,风电
2f7434d5-4c38-45b0-bd17-82bf1193c8e7,XM2024020001,万达+浏阳迪诺15.6895MW分布式光伏直租+回租融资租赁项目,60000000.0,普通融资租赁,光伏发电,直租+回租,PASS,8ce99862-3fbb-445e-888e-7a2db461bc4b,郑州市康达富新能源有限公司,102673,王力平,yls_kflj70000m9trw,能源业务四部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,新能源项目开发建设,156.0,河南省,郑州市,惠济区,,电费收入,资产抵押,光伏电站设备及附属设施,litigation,64,102673,2024-02-29 10:16:54,102870,2024-04-09 13:37:35,1ad6c528-d1e3-4807-8747-57f083fa3bb6,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,0.0,1.0,0,2024/04/09 13:37:34,2024/04/01,1,0.0648,参照2024年02月20日央行五年期LPR3.95%利率加点值5.00BP，即4.00%。,浮动利率,0,0,等额本息 季付，季后付,"[""103030"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",,350d19d7-c7e5-4182-a63c-299c10c64094,7626d7a9-f397-4258-ba01-b25aea299bec,1.0,服务国电投集团,常规融资租赁,光伏设备,项目建设,光伏
317e5ffc-b2ec-487c-8f1d-80094a20f7ce,XM2025120003,东莞市永利线路板有限公司工商业储能3.125MW/6.525MWh项目,4887225.0,普通融资租赁,储能业务,直租,PASS,bf115dcb-b14b-479b-9d63-1901f86c778f,东莞市绿电荷储新能源有限公司,102537,钱奔,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,支付工商业储能设备及基础设施款,156.0,广东省,东莞市,东莞市,东莞市长安镇涌头工业区,工商业储能资产峰谷套利形成的收益,绿电荷储差额补足,储能设备及基础设施,litigation,19,102537,2025-12-22 16:04:38,103014,2025-12-26 10:41:18,750eaaa9-70f1-4925-a8ca-f016a30a54a4,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2025/12/26 10:41:17,,1,0.071,参照2025年12月22日央行五年期LPR3.50%利率加点值135.00BP，即4.85%。,浮动利率,不强制性收取,按照融资额的0.5%收取手续费,季付，前两期宽限期（第一期不还本息，第二期还息不还本，第一期利息在第二期付息时一并收取）,,,6b62d1d1-8251-4bc4-98b4-16fcc44d97b3,36db4b43-7048-4e4a-a8b4-c767cb30f930,1.0,市场化,常规融资租赁,储能设备,其他,储能
3277a75d-b436-4389-ac82-55c71928878c,XM2024110005,新邵太芝庙54.95MW 风电直租项目立项,368989300.0,普通融资租赁,风力发电,直租,PASS,759e2061-1cae-4418-85eb-40ddffcb56bc,新邵县丰悦新能源有限责任公司,4db3f103-92bd-4e98-8192-4d95bf418e50,孔涵融,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,用于电站建设,156.0,湖南省,邵阳市,新邵县,,电站发电收入,股东还款,风机及附属设备,litigation,39,4db3f103-92bd-4e98-8192-4d95bf418e50,2024-11-14 11:52:29,102870,2024-11-25 14:01:46,b49d0cea-b48e-4a27-8ec9-8cc656e40ae0,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2024/11/25 14:01:45,2024/11/24,1,0.1005,参照2024年10月21日央行一年期LPR3.10%利率加点值40.00BP，即3.50%。,浮动利率,无,手续费比例为项目本金的2%，一年后收取,宽限期内只还息不还本，12个月后等额本息、半年付后付进行租金偿还,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",,912f092d-4996-4158-b474-a4ef752ee46b,bae625f9-a94c-4166-ac48-d461e0eb05e2,1.0,服务三一集团,常规融资租赁,风电设备,项目建设,风电
